"ID","AGE","EDUC","SEX","EARN","JOB"
"5104","28","3","1","25000","5"
"5268","28","3","1","32490","5"
"5407","28","4","2","24012","6"
"5614","28","3","1","80000","5"
"5812","29","4","1","44000","6"
"5852","29","4","2","39076","5"
"5864","29","5","2","82500","5"
"5867","29","5","2","80612","5"
"6077","29","5","1","85000","5"
"6101","29","3","2","8000","5"
"6218","29","3","2","8389","5"
"6482","29","2","2","12000","6"
"6518","29","4","2","22010","5"
"6525","29","5","1","72000","5"
"6537","29","3","2","16000","5"
"6579","29","5","2","100022","7"
"6636","29","3","1","20000","5"
"6642","29","4","2","18011","5"
"6649","29","2","1","18720","5"
"6759","29","3","2","30660","5"
"6823","29","1","2","15000","5"
"6887","29","4","2","13000","5"
"6889","29","3","1","30200","5"
"6890","29","5","2","500","5"
"6897","29","4","1","71038","5"
"6992","29","4","2","10000","5"
"7043","29","3","2","20000","5"
"7052","29","3","1","14280","5"
"7067","29","2","1","54920","5"
"7226","29","4","2","3648","5"
"7231","29","5","1","67550","5"
"7234","29","4","2","31600","5"
"7385","29","4","1","34000","5"
"7526","30","6","1","19007","5"
"7542","30","3","1","8566","6"
"7569","30","5","1","65000","5"
"7714","30","5","1","66650","6"
"7750","30","4","1","36500","7"
"7886","30","5","2","46500","5"
"7922","30","3","1","15455","5"
"7954","30","3","2","4200","5"
"8221","30","4","1","25075","5"
"8370","30","4","2","7500","5"
"8414","30","2","1","31200","5"
"8499","30","1","1","14000","5"
"8543","30","2","2","9100","5"
"8553","30","4","1","29564","5"
"8555","30","3","2","2300","7"
"8604","30","2","2","6000","5"
"8704","30","4","2","17986","6"
"8744","30","3","2","10400","5"
"8767","30","4","1","21000","5"
"8844","30","3","1","30000","5"
"8938","30","5","1","42950","5"
"8949","30","3","1","23000","5"
"9067","31","3","2","16788","5"
"9094","31","5","1","50500","6"
"9096","31","6","2","23000","5"
"9097","31","6","1","30000","5"
"9204","31","4","1","35000","6"
"9220","31","5","1","35727","6"
"9246","31","5","2","14125","5"
"9326","31","6","2","74500","5"
"9329","31","3","1","42407","5"
"9419","31","3","1","41300","6"
"9500","31","2","2","21002","5"
"9533","31","6","1","65500","5"
"9586","31","3","1","10000","5"
"9591","31","4","1","28800","7"
"9714","31","4","2","30050","5"
"9725","31","4","1","83002","5"
"9755","31","4","2","3900","5"
"9767","31","6","2","1750","5"
"9804","31","6","2","62613","6"
"9825","31","3","1","38010","5"
"9914","31","4","2","11000","5"
"9939","31","3","2","24000","5"
"9991","31","4","2","25902","6"
"10086","31","3","1","42000","5"
"10119","31","3","1","31499","6"
"10183","31","4","2","46020","5"
"10196","31","5","1","40015","5"
"10247","31","6","2","123100","5"
"10282","31","5","2","20000","5"
"10409","31","4","2","20000","5"
"10421","31","4","1","21000","5"
"10430","31","6","1","34000","6"
"10553","31","6","2","142539","5"
"10554","31","2","1","27000","5"
"10563","31","3","1","45811","5"
"10574","31","2","2","12901","5"
"10578","31","3","2","13280","5"
"10632","31","4","1","36900","5"
"10667","31","6","2","20820","5"
"10678","31","4","2","24000","5"
"10684","31","3","1","47000","5"
"10713","32","5","1","20400","6"
"10757","32","3","1","33551","7"
"10758","32","2","2","1380","5"
"10780","32","4","1","51398","5"
"10817","32","5","1","47970","5"
"10822","32","3","1","16000","7"
"10933","32","5","2","20615","5"
"11130","32","4","1","61655","5"
"11296","32","5","1","77119","5"
"11315","32","5","1","50627","5"
"11347","32","4","2","32201","5"
"11372","32","5","2","170373","5"
"11478","32","2","1","14400","5"
"11486","32","4","2","30016","5"
"11504","32","3","1","65300","5"
"11595","32","3","2","21600","5"
"11597","32","5","2","22100","5"
"11700","32","4","2","33230","5"
"11752","32","1","1","18040","5"
"11783","32","6","1","37500","5"
"11788","32","5","1","28000","5"
"11846","32","5","1","48470","5"
"11901","32","5","2","44003","5"
"11992","32","4","1","20800","5"
"12194","32","3","1","13000","5"
"12256","32","4","2","63675","7"
"12334","33","5","2","39000","5"
"12394","33","3","2","782","5"
"12432","33","2","1","11440","5"
"12465","33","3","2","23021","5"
"12476","33","5","1","34300","6"
"12576","33","3","2","310","7"
"12590","33","5","2","20100","5"
"12682","33","6","1","70370","5"
"12738","33","4","2","40750","5"
"12823","33","4","2","27010","5"
"12978","33","6","1","66901","5"
"12992","33","5","2","57300","5"
"13024","33","4","1","26003","5"
"13063","33","4","2","16888","5"
"13067","33","3","2","20000","5"
"13099","33","5","1","60465","5"
"13120","33","6","2","53086","5"
"13285","33","4","2","30050","5"
"13399","33","5","2","10030","7"
"13418","33","3","1","19000","5"
"13469","33","6","1","15568","5"
"13491","33","3","2","16224","6"
"13554","33","4","1","21600","5"
"13562","33","5","1","56300","5"
"13872","33","3","1","23000","5"
"14068","34","4","1","74225","5"
"14075","34","6","1","64600","6"
"14147","34","6","2","32100","5"
"14180","34","5","2","20286","5"
"14434","34","4","1","60700","5"
"14458","34","3","2","6000","5"
"14470","34","3","2","33000","5"
"14587","34","5","1","27000","5"
"14622","34","5","1","25000","6"
"14625","34","4","2","11805","5"
"14634","34","3","2","8500","5"
"14688","34","3","1","900","5"
"14877","34","5","2","40100","7"
"14885","34","6","1","34923","5"
"14953","34","1","1","20800","5"
"15124","34","5","1","64600","5"
"15166","34","3","1","18100","5"
"15198","34","3","2","16410","5"
"15307","34","5","2","28000","6"
"15317","34","3","2","36403","5"
"15358","34","6","2","26225","5"
"15369","34","4","2","22035","5"
"15398","34","1","1","50000","5"
"15479","34","3","1","61000","7"
"15549","34","3","1","21300","5"
"15556","34","1","1","19000","5"
"15615","35","2","2","13400","5"
"15626","35","6","2","76173","5"
"15677","35","4","2","35404","5"
"15684","35","3","2","18000","5"
"15752","35","1","1","5700","5"
"15759","35","5","2","23000","5"
"15805","35","3","1","30070","5"
"15837","35","4","2","34000","5"
"15931","35","5","2","-4524","7"
"15937","35","3","2","21626","5"
"16000","35","4","1","52829","5"
"16032","35","5","2","56308","5"
"16041","35","5","1","55040","5"
"16101","35","4","1","29500","5"
"16188","35","3","2","13000","5"
"16279","35","2","2","9000","5"
"16313","35","4","2","41000","5"
"16465","35","3","1","45000","5"
"16554","35","4","2","19000","5"
"16760","35","5","2","18000","5"
"16833","35","4","1","67000","5"
"16942","35","6","2","64580","5"
"16978","35","4","1","27000","6"
"17143","35","4","1","28000","5"
"17180","35","4","1","40000","5"
"17257","35","3","1","21500","5"
"17427","36","4","2","31000","5"
"17442","36","2","2","11960","5"
"17503","36","1","1","4000","5"
"17579","36","5","2","9750","5"
"17592","36","2","2","3501","5"
"17622","36","6","1","229339","5"
"17655","36","5","2","39100","5"
"17673","36","5","1","41750","6"
"17738","36","5","2","25208","5"
"17796","36","3","2","3342","6"
"17810","36","6","1","55599","6"
"17858","36","3","2","45265","5"
"17918","36","4","1","12480","5"
"18074","36","2","1","28000","5"
"18155","36","5","2","79056","7"
"18185","36","3","2","30010","5"
"18248","36","4","2","9376","5"
"18257","36","3","1","30000","5"
"18349","36","3","2","12000","5"
"18557","36","5","1","39750","5"
"18616","36","3","2","600","6"
"18774","36","4","2","33091","5"
"18945","36","3","2","20323","5"
"18967","36","3","2","9000","7"
"18978","36","1","2","3400","5"
"19046","36","3","1","12425","5"
"19126","36","4","2","90346","6"
"19191","37","4","2","29590","5"
"19248","37","5","2","60072","5"
"19253","37","3","1","54472","5"
"19283","37","3","1","32010","7"
"19449","37","3","2","23150","5"
"19508","37","1","1","38862","6"
"19531","37","3","1","39707","6"
"19695","37","4","1","62025","5"
"19700","37","4","1","44199","5"
"19756","37","4","2","35390","5"
"19772","37","5","1","11433","7"
"20069","37","4","2","9863","5"
"20129","37","3","2","12000","6"
"20149","37","5","1","50400","5"
"20151","37","5","1","30000","5"
"20183","37","4","2","19000","5"
"20266","37","2","2","9750","5"
"20304","37","3","2","4000","6"
"20354","37","4","1","35000","6"
"20400","37","3","2","37069","5"
"20466","37","5","1","37464","5"
"20467","37","3","2","25300","5"
"20509","37","3","1","35000","5"
"20514","37","3","2","15000","5"
"20586","37","6","2","75300","5"
"20636","37","3","1","76433","5"
"20644","37","3","1","21000","5"
"20672","37","5","2","69100","5"
"20745","37","4","2","65192","5"
"20756","37","5","1","44400","7"
"20865","37","5","2","10000","5"
"20924","38","6","2","9027","5"
"20990","38","3","1","50350","6"
"21155","38","3","1","11700","5"
"21157","38","3","2","13000","6"
"21168","38","3","2","15100","5"
"21299","38","5","2","29463","5"
"21324","38","6","2","62815","5"
"21378","38","5","1","60181","5"
"21434","38","5","2","42700","5"
"21493","38","4","1","40000","5"
"21521","38","4","1","30000","7"
"21527","38","4","2","12586","5"
"21699","38","5","2","28960","5"
"21794","38","3","1","35015","5"
"21854","38","3","1","40116","7"
"21874","38","3","1","17508","5"
"21902","38","4","2","25000","5"
"21911","38","4","2","28188","5"
"21975","38","3","1","30000","7"
"22007","38","6","1","71500","5"
"22115","38","5","2","16115","5"
"22184","38","3","1","30896","5"
"22201","38","4","1","48250","5"
"22234","38","5","2","8525","5"
"22284","38","2","1","23000","5"
"22314","38","3","2","10638","5"
"22332","38","4","1","35000","5"
"22467","38","5","1","74000","5"
"22490","38","4","1","35700","5"
"22509","38","3","1","62000","5"
"22520","38","4","2","21850","5"
"22709","39","6","1","46129","6"
"22776","39","6","2","27846","6"
"22824","39","3","1","10000","5"
"22826","39","4","2","28006","5"
"22854","39","5","1","84000","7"
"22905","39","3","2","16404","5"
"23028","39","3","1","30000","5"
"23033","39","6","1","231454","5"
"23060","39","1","1","54000","5"
"23072","39","3","2","37040","5"
"23122","39","4","2","26005","6"
"23220","39","5","1","54000","5"
"23235","39","6","1","66320","5"
"23252","39","2","2","7872","5"
"23445","39","4","2","13936","5"
"23448","39","3","2","40000","5"
"23491","39","3","1","23000","5"
"23569","39","5","2","47500","7"
"23578","39","6","2","92100","5"
"23583","39","4","2","49137","5"
"23585","39","4","2","22309","5"
"23592","39","4","2","30538","5"
"23646","39","3","1","50050","5"
"23713","39","5","1","65000","7"
"23716","39","4","1","73226","6"
"23731","39","2","1","104000","5"
"23785","39","3","2","14393","6"
"23807","39","3","2","13010","5"
"23823","39","3","1","27500","5"
"23862","39","5","1","53000","5"
"23917","39","3","2","8069","5"
"23934","39","5","2","36368","5"
"24017","39","4","1","45000","5"
"24064","39","4","2","36380","5"
"24120","39","3","2","5000","5"
"24166","39","3","2","18020","5"
"24408","39","4","1","30001","5"
"24493","39","3","1","40000","5"
"24505","39","3","1","30000","5"
"24508","39","4","1","28800","6"
"24537","39","2","1","17500","5"
"24539","39","2","2","13769","5"
"24599","40","3","2","15140","5"
"24625","40","4","2","40075","5"
"24636","40","2","2","31000","5"
"24645","40","3","1","55773","7"
"24672","40","3","1","48015","5"
"24889","40","3","1","33011","5"
"24999","40","3","2","5874","7"
"25250","40","5","2","92119","5"
"25280","40","3","2","12795","5"
"25284","40","6","1","64100","6"
"25307","40","4","2","18776","5"
"25352","40","4","1","53120","5"
"25366","40","6","2","120000","5"
"25400","40","4","1","31340","5"
"25422","40","6","1","140958","5"
"25457","40","3","2","27218","5"
"25483","40","3","2","19651","5"
"25545","40","4","2","51919","5"
"25549","40","3","1","46600","5"
"25568","40","5","1","11463","5"
"25621","40","3","1","28080","5"
"25629","40","4","2","30755","5"
"25639","40","3","2","8063","5"
"25755","40","3","1","22050","5"
"25764","40","4","2","9483","7"
"25814","40","6","1","66650","6"
"25876","40","1","1","31000","5"
"25906","40","3","2","35268","6"
"25939","40","4","1","40600","7"
"25975","40","4","2","43869","5"
"26103","40","3","2","22600","5"
"26143","40","2","1","31000","5"
"26159","40","5","1","110559","7"
"26285","40","2","2","21848","5"
"26294","40","6","1","200","7"
"26345","40","1","1","14400","5"
"26364","40","4","2","54680","7"
"26386","40","4","1","32000","6"
"26469","41","4","2","23275","5"
"26526","41","3","2","30116","6"
"26675","41","3","1","36002","5"
"26845","41","4","2","22575","5"
"26888","41","5","1","42000","5"
"26901","41","4","1","33000","5"
"26940","41","3","1","15000","5"
"26954","41","3","2","6000","5"
"26963","41","3","2","27030","5"
"26964","41","3","2","8000","5"
"26998","41","6","1","77500","6"
"27003","41","5","1","50003","5"
"27007","41","5","2","76729","5"
"27026","41","6","1","100050","5"
"27047","41","4","2","20200","5"
"27077","41","4","2","15000","7"
"27123","41","3","1","76662","5"
"27152","41","3","2","12300","5"
"27241","41","3","1","23176","5"
"27315","41","4","2","62342","5"
"27321","41","3","1","37384","5"
"27374","41","5","1","43615","5"
"27426","41","3","2","24003","6"
"27432","41","6","2","28000","5"
"27472","41","5","2","7052","5"
"27502","41","3","1","30000","5"
"27544","41","4","1","11250","5"
"27586","41","6","2","42000","6"
"27609","41","4","1","28600","6"
"27613","41","3","1","20000","5"
"27652","41","4","1","11510","7"
"27689","41","4","1","20000","5"
"27753","41","3","1","10000","5"
"27781","41","3","2","77000","5"
"27852","41","2","1","35000","5"
"27930","41","6","1","72350","5"
"27931","41","4","1","119700","5"
"27970","41","3","1","40808","7"
"28003","41","3","1","52302","5"
"28043","41","4","1","58025","5"
"28174","41","3","1","12000","5"
"28243","42","4","2","16251","5"
"28301","42","5","2","113500","5"
"28357","42","4","2","20800","5"
"28372","42","3","1","45000","5"
"28386","42","4","2","38029","5"
"28431","42","3","2","16090","5"
"28451","42","3","1","48016","6"
"28472","42","1","1","21700","5"
"28487","42","5","2","95008","5"
"28495","42","3","2","24996","6"
"28544","42","3","1","35035","5"
"28693","42","3","1","64000","5"
"28702","42","3","1","18088","5"
"28714","42","3","2","18174","5"
"28766","42","6","2","35569","5"
"28836","42","5","2","20316","5"
"28838","42","3","2","36000","5"
"28856","42","4","1","17040","5"
"28895","42","4","1","95404","5"
"28980","42","3","1","58396","7"
"29002","42","3","2","17012","5"
"29008","42","4","1","14400","5"
"29025","42","4","2","57000","7"
"29044","42","3","1","81742","5"
"29094","42","4","1","31778","6"
"29107","42","3","2","30000","5"
"29129","42","5","1","150500","5"
"29251","42","5","1","52651","5"
"29318","42","2","2","11500","5"
"29320","42","3","2","18620","5"
"29333","42","4","2","75132","5"
"29444","42","3","2","16900","5"
"29561","42","5","1","42725","5"
"29601","42","3","2","9002","6"
"29722","42","4","2","32026","6"
"29824","42","6","2","42200","6"
"29986","42","3","2","212","7"
"29999","43","3","1","36330","5"
"30016","43","5","2","40323","5"
"30104","43","4","1","60220","5"
"30139","43","6","2","45062","7"
"30233","43","5","2","40435","6"
"30259","43","4","1","31200","5"
"30299","43","3","1","17000","5"
"30340","43","3","2","27010","5"
"30411","43","5","2","47500","6"
"30538","43","3","2","33208","5"
"30585","43","5","1","82202","5"
"30722","43","4","2","54957","6"
"30761","43","6","2","38009","6"
"30786","43","4","1","50050","5"
"30795","43","4","1","25000","5"
"30867","43","1","2","14560","5"
"30904","43","3","2","24000","5"
"31049","43","3","1","4800","5"
"31085","43","3","1","25300","5"
"31126","43","1","2","8000","5"
"31240","43","2","1","14000","6"
"31267","43","4","1","26005","5"
"31353","43","6","2","60150","5"
"31455","43","4","1","30000","5"
"31467","43","5","1","296831","5"
"31632","43","3","2","16350","5"
"31636","43","4","2","2920","5"
"31719","43","4","2","32200","5"
"31737","43","4","2","27212","5"
"31833","44","3","1","45780","5"
"31836","44","2","1","39000","5"
"31918","44","3","1","3600","5"
"31966","44","3","2","3000","5"
"32073","44","4","2","549","5"
"32076","44","4","1","58000","5"
"32100","44","4","2","25000","6"
"32109","44","6","2","38162","6"
"32143","44","3","2","19240","5"
"32250","44","6","1","30000","6"
"32568","44","6","2","49041","6"
"32576","44","4","1","13006","5"
"32615","44","5","2","47125","6"
"32632","44","6","1","142399","5"
"32748","44","5","1","45000","5"
"32787","44","6","1","50011","6"
"32844","44","3","2","26000","6"
"32883","44","3","1","31000","7"
"32884","44","5","1","75000","7"
"33009","44","3","2","26028","5"
"33024","44","4","1","80759","5"
"33115","44","4","1","20400","7"
"33199","44","3","2","30000","5"
"33266","44","4","1","100750","7"
"33364","44","4","1","30000","5"
"33458","44","3","1","75404","5"
"33732","45","6","2","42721","5"
"33794","45","3","1","81075","6"
"33820","45","3","2","71400","5"
"33847","45","4","1","23000","6"
"33903","45","5","2","40342","6"
"33915","45","3","1","60335","5"
"33922","45","4","2","23000","6"
"33981","45","3","1","95032","7"
"34008","45","5","2","5000","5"
"34010","45","5","2","56105","5"
"34028","45","3","2","19495","6"
"34049","45","5","1","95900","5"
"34088","45","4","2","9030","6"
"34165","45","6","2","34119","5"
"34187","45","4","1","60069","6"
"34229","45","5","1","29911","5"
"34242","45","3","1","30000","5"
"34253","45","4","1","45200","5"
"34265","45","6","2","40500","5"
"34334","45","6","2","44860","6"
"34404","45","4","2","58025","5"
"34425","45","4","1","24934","6"
"34426","45","5","2","51240","5"
"34442","45","3","1","16288","5"
"34513","45","3","1","80000","5"
"34560","45","6","2","35584","6"
"34628","45","6","2","20400","5"
"34637","45","3","2","25000","5"
"34679","45","3","2","23000","5"
"34685","45","4","2","12390","5"
"34710","45","3","2","28928","5"
"34745","45","5","1","116500","6"
"34797","45","5","1","26900","5"
"34856","45","4","1","41012","6"
"34858","45","5","1","31085","6"
"34951","45","3","2","15008","5"
"35029","45","6","2","48800","5"
"35073","45","3","2","5628","5"
"35139","45","3","1","231277","5"
"35193","45","3","2","15000","5"
"35196","45","4","2","4001","7"
"35271","45","2","1","23500","5"
"35325","46","5","2","17139","5"
"35344","46","3","2","40000","5"
"35367","46","3","1","45000","7"
"35382","46","4","2","13988","5"
"35390","46","4","2","28404","5"
"35397","46","4","2","27743","5"
"35421","46","4","1","41000","7"
"35446","46","3","2","30100","5"
"35463","46","2","2","1100","7"
"35638","46","5","2","51802","5"
"35694","46","5","1","66100","5"
"35703","46","3","1","50040","5"
"35861","46","4","1","364986","7"
"36001","46","3","2","19300","6"
"36106","46","4","1","50803","5"
"36213","46","3","2","34900","5"
"36220","46","4","1","26000","5"
"36234","46","3","2","14261","5"
"36240","46","4","1","22503","5"
"36362","46","4","2","26521","6"
"36364","46","4","2","15664","6"
"36389","46","5","1","31394","5"
"36547","46","4","2","21268","5"
"36561","46","4","2","28413","5"
"36725","46","4","2","21000","5"
"36767","46","5","2","45798","5"
"36831","46","4","1","36300","5"
"36836","46","6","1","74730","6"
"36848","46","3","2","12500","5"
"36925","46","6","2","115004","6"
"36951","47","4","2","20084","6"
"36959","47","4","2","28180","6"
"36962","47","3","2","10683","5"
"36967","47","5","2","35920","5"
"36989","47","2","1","61500","5"
"37089","47","6","2","35000","5"
"37101","47","3","2","5212","5"
"37140","47","3","1","52717","5"
"37187","47","3","2","44600","5"
"37307","47","4","2","16308","5"
"37358","47","4","1","21000","5"
"37371","47","3","1","40000","5"
"37397","47","3","1","28000","5"
"37407","47","3","2","25000","6"
"37660","47","3","2","41009","5"
"37741","47","3","1","37452","5"
"37943","47","1","1","10400","5"
"38016","47","5","1","25138","6"
"38223","47","4","2","25466","7"
"38327","47","3","1","31477","5"
"38330","47","3","2","8232","5"
"38386","47","5","2","50030","5"
"38411","47","5","1","49100","5"
"38417","47","3","1","45024","7"
"38423","47","4","2","3705","7"
"38465","47","4","1","15040","5"
"38531","47","3","1","19026","5"
"38648","48","3","1","28000","5"
"38654","48","3","1","19677","5"
"38678","48","4","1","25500","5"
"38713","48","4","1","45000","5"
"38724","48","5","2","81528","5"
"38832","48","2","1","30816","5"
"38886","48","5","1","76290","6"
"38911","48","6","2","36453","6"
"38993","48","4","1","68201","5"
"39048","48","2","2","11000","5"
"39106","48","3","1","52560","5"
"39212","48","6","1","49604","6"
"39279","48","6","1","121669","5"
"39280","48","4","2","32025","6"
"39291","48","3","2","8000","5"
"39298","48","3","1","83075","7"
"39303","48","2","2","7800","5"
"39330","48","4","2","25007","6"
"39357","48","4","2","51279","7"
"39424","48","3","1","52012","5"
"39461","48","3","1","232339","5"
"39539","48","4","1","5740","5"
"39748","48","3","2","20600","5"
"39852","48","3","2","2050","5"
"39856","48","4","2","560","5"
"39925","48","5","2","48100","6"
"39942","48","4","1","42970","5"
"40010","48","5","1","81250","5"
"40056","48","4","1","53070","5"
"40093","49","5","2","50565","5"
"40096","49","6","2","37000","6"
"40200","49","5","2","18051","6"
"40378","49","3","1","28340","6"
"40481","49","3","1","15612","5"
"40573","49","2","2","2000","5"
"40608","49","5","1","231762","5"
"40676","49","6","2","36565","7"
"40717","49","5","1","62451","5"
"40728","49","5","1","212710","5"
"40762","49","5","2","76740","6"
"40875","49","4","2","20195","5"
"40907","49","3","1","30000","6"
"40927","49","3","2","7000","5"
"40957","49","6","1","80650","6"
"41006","49","5","1","82695","5"
"41210","49","5","1","58200","6"
"41246","49","5","2","9780","6"
"41264","49","5","1","6424","5"
"41299","49","3","1","18454","6"
"41301","49","4","2","25401","6"
"41327","49","4","2","64685","5"
"41383","49","4","1","36769","7"
"41408","49","3","2","42000","5"
"41422","49","4","2","30252","5"
"41510","49","5","1","50002","5"
"41524","49","6","1","60000","5"
"41561","50","3","2","10400","6"
"41572","50","5","2","39820","6"
"41584","50","3","2","18180","6"
"41643","50","4","1","49997","6"
"41831","50","4","2","18246","5"
"41907","50","6","1","231708","5"
"41922","50","4","1","179215","5"
"41940","50","3","2","47000","6"
"42047","50","3","2","40275","5"
"42064","50","5","1","79724","5"
"42081","50","6","1","206410","6"
"42115","50","5","2","35514","6"
"42128","50","4","1","20300","7"
"42163","50","4","2","20000","5"
"42196","50","4","1","26413","5"
"42225","50","4","2","13600","5"
"42231","50","5","1","43074","7"
"42473","50","4","1","57400","6"
"42502","50","4","1","40565","5"
"42523","50","4","2","25800","5"
"42538","50","5","2","27525","5"
"42712","50","4","2","20638","5"
"42714","50","3","2","12300","5"
"42729","50","5","2","42000","6"
"42776","50","4","1","44253","5"
"42777","50","4","2","16253","5"
"42800","50","4","1","117910","6"
"42885","50","3","1","50916","6"
"42985","50","3","1","11392","5"
"43050","50","3","1","18000","5"
"43069","50","5","1","15250","7"
"43102","50","4","1","37255","5"
"43195","51","3","1","36000","7"
"43265","51","5","2","29466","5"
"43271","51","4","2","20000","5"
"43364","51","6","1","73000","5"
"43375","51","3","2","27630","5"
"43386","51","5","2","45760","5"
"43470","51","2","2","1000","5"
"43486","51","3","1","60017","5"
"43539","51","3","1","12000","5"
"43553","51","6","1","12000","6"
"43635","51","3","2","21050","5"
"43719","51","3","1","76159","5"
"43805","51","3","1","74200","7"
"43882","51","3","2","30129","5"
"43945","51","4","2","13000","7"
"44074","51","4","2","10671","6"
"44124","51","5","1","63489","5"
"44129","51","4","2","55850","5"
"44162","51","1","1","21000","5"
"44166","51","5","2","45525","5"
"44237","51","3","2","10800","6"
"44241","51","4","1","13084","5"
"44255","51","4","1","12588","5"
"44269","51","3","1","39323","6"
"44277","51","3","1","39024","5"
"44360","51","3","1","700","7"
"44366","51","5","1","31201","6"
"44512","51","5","1","42799","6"
"44562","51","5","1","50600","5"
"44698","52","3","1","34779","5"
"44725","52","5","2","83872","5"
"44746","52","6","1","80959","5"
"44925","52","6","1","170880","5"
"45071","52","3","2","18804","5"
"45103","52","5","1","56450","5"
"45385","52","2","2","22253","5"
"45472","52","3","2","26185","5"
"45568","52","6","1","42700","6"
"45580","52","5","1","48150","5"
"45589","52","3","2","6412","5"
"45596","52","4","1","114005","5"
"45627","52","2","1","37025","5"
"45677","52","4","1","27079","7"
"45683","52","4","2","40169","7"
"45715","52","5","1","50713","6"
"45852","52","3","2","27000","5"
"45862","52","3","2","14045","5"
"45888","52","3","1","37157","5"
"45903","52","1","2","10000","5"
"46038","52","5","1","29200","6"
"46108","53","4","2","59055","5"
"46110","53","5","1","46000","5"
"46143","53","5","2","98000","5"
"46165","53","4","2","12326","6"
"46166","53","3","2","19000","5"
"46175","53","4","1","36095","5"
"46246","53","4","2","40416","5"
"46288","53","5","1","50077","5"
"46368","53","2","2","11000","5"
"46408","53","6","1","3758","5"
"46475","53","5","1","95221","7"
"46530","53","3","1","29010","5"
"46646","53","5","2","43951","5"
"46878","53","3","1","15615","5"
"46894","53","3","2","31148","7"
"46913","53","3","2","18000","5"
"46918","53","3","2","26000","5"
"47059","53","4","2","32026","6"
"47079","53","6","1","90175","5"
"47121","53","4","1","32000","5"
"47126","53","6","2","75000","6"
"47135","53","1","2","12051","7"
"47148","53","5","2","46920","6"
"47163","53","3","2","12000","6"
"47205","53","4","2","13925","5"
"47234","53","4","1","40210","5"
"47348","53","6","1","37003","5"
"47392","53","5","1","20000","5"
"47476","54","3","2","23550","5"
"47495","54","1","1","5000","7"
"47518","54","6","2","88420","6"
"47534","54","3","2","30000","5"
"47550","54","2","1","53026","6"
"47565","54","4","2","40000","5"
"47634","54","6","2","47733","7"
"47745","54","5","1","104962","5"
"47758","54","6","1","31551","7"
"47900","54","6","1","42075","6"
"48022","54","5","1","64243","5"
"48158","54","1","1","9000","7"
"48161","54","4","2","27020","6"
"48194","54","3","2","9000","5"
"48247","54","6","1","76938","5"
"48266","54","4","1","30012","7"
"48307","54","4","2","65000","6"
"48314","54","3","2","18027","5"
"48319","54","3","1","30000","6"
"48344","54","5","1","60000","5"
"48447","55","3","1","27537","5"
"48637","55","3","1","18200","5"
"48700","55","6","2","46050","6"
"48752","55","1","1","23008","5"
"48768","55","4","2","32051","6"
"48907","55","6","2","32230","6"
"49000","55","3","1","26500","5"
"49103","55","5","1","71250","5"
